N,P,K,temperature,humidity,ph,rainfall,label
20.4,131.8,176.7,24.61,90.89,6.48,95.48,apple
24.6,42.7,10.5,25.78,53.01,6.46,54.3,mothbeans
22.4,43.3,13.4,27.24,90.19,7.11,54.12,mungbean
23.0,43.0,21.3,31.54,88.46,6.5,44.39,mungbean
16.4,28.4,13.6,26.87,95.26,7.47,82.34,orange
21.8,132.7,193.0,20.36,91.54,5.81,111.5,apple
37.2,77.8,50.6,19.9,18.42,7.27,67.52,chickpea
57.3,44.3,0.0,23.93,63.02,5.59,112.97,maize
45.3,63.6,33.9,34.44,94.23,5.81,109.18,papaya
12.6,9.6,33.2,21.96,100.0,6.5,115.76,pomegranate
74.4,84.1,47.8,27.37,79.49,6.29,88.71,banana
28.5,64.3,26.5,20.91,53.27,7.27,51.74,mothbeans
24.8,23.0,42.3,22.33,93.98,6.46,110.78,pomegranate
92.5,26.0,24.4,24.96,49.99,7.18,165.17,coffee
78.7,18.7,58.1,26.89,83.59,6.25,15.0,watermelon
17.7,62.2,27.7,29.29,38.57,5.75,174.66,pigeonpeas
20.8,54.7,16.2,21.84,55.97,5.41,155.8,pigeonpeas
23.5,14.4,7.5,23.7,91.81,7.23,103.55,orange
38.8,43.4,65.1,34.04,92.14,6.96,88.07,papaya
123.6,16.3,48.8,30.36,91.52,6.93,21.17,muskmelon
16.2,56.3,15.4,26.57,58.32,6.0,42.48,mothbeans
41.6,65.1,77.1,18.97,10.97,7.2,92.45,chickpea
15.1,17.0,24.6,16.55,90.34,6.35,69.88,pomegranate
106.0,24.7,32.0,26.98,64.58,6.51,158.99,coffee
129.7,39.2,27.6,24.45,81.82,6.77,80.41,cotton
103.1,9.1,62.8,23.09,81.74,6.77,32.64,watermelon
18.4,21.6,38.1,19.49,85.28,6.4,113.14,pomegranate
34.0,48.7,92.4,16.51,17.28,6.93,98.67,chickpea
139.2,50.0,21.0,26.8,87.76,6.81,82.19,cotton
13.1,150.0,194.4,27.17,86.9,5.95,119.2,apple
75.6,48.0,41.3,22.56,77.85,6.84,177.8,rice
78.2,52.4,41.4,28.94,82.23,6.62,193.01,jute
21.5,45.2,9.8,30.18,93.22,6.72,36.85,mungbean
71.4,21.1,19.4,26.74,60.3,5.32,89.29,maize
18.6,111.8,210.0,18.8,92.79,6.32,70.94,apple
19.4,148.3,169.7,24.69,86.41,5.24,69.47,grapes
27.3,7.1,12.4,24.02,88.01,6.11,122.25,orange
17.2,32.0,25.4,31.71,49.08,5.63,107.37,mango
127.6,52.4,15.9,20.45,82.01,7.42,77.87,cotton
19.9,26.8,18.7,31.48,50.82,5.48,108.77,mango
20.2,44.0,19.2,29.93,95.18,6.98,46.93,mungbean
83.4,46.4,19.5,21.34,66.13,6.41,131.15,maize
18.9,60.0,13.4,17.35,22.24,5.43,114.5,kidneybeans
24.4,131.6,189.6,26.34,92.56,5.95,110.97,apple
88.7,83.7,65.9,27.76,85.66,5.86,103.1,banana
23.6,126.8,176.3,22.17,90.7,5.15,132.5,apple
15.9,70.9,21.0,25.43,61.06,7.03,19.1,lentil
23.8,52.0,54.4,31.49,90.12,6.94,147.05,papaya
23.3,15.2,25.3,27.22,97.35,6.23,156.81,coconut
35.0,55.6,72.3,21.02,10.2,7.36,72.6,chickpea
25.6,14.2,34.8,27.57,95.49,6.31,162.63,coconut
33.6,72.8,19.3,27.97,35.74,6.62,138.63,pigeonpeas
27.5,22.7,9.5,21.71,88.27,7.54,89.12,orange
88.3,22.8,56.8,24.36,90.19,6.13,42.69,watermelon
110.2,40.3,35.3,29.63,61.2,6.42,91.72,maize
31.9,59.0,22.7,24.26,41.6,5.31,176.76,pigeonpeas
29.0,61.3,31.2,32.27,70.41,7.69,67.23,blackgram
101.1,14.5,66.7,31.12,91.58,5.49,17.82,muskmelon
15.2,22.2,22.1,26.29,51.26,5.37,104.02,mango
45.4,65.0,85.1,19.69,16.14,7.04,76.18,chickpea
32.0,54.1,27.2,26.69,62.72,6.98,85.87,blackgram
103.5,54.8,24.8,19.69,60.42,5.96,113.75,maize
23.4,35.1,18.9,26.96,49.4,5.78,146.57,pigeonpeas
34.6,52.8,84.7,21.62,16.74,7.86,85.11,chickpea
13.2,60.5,14.9,28.8,45.31,5.59,169.85,pigeonpeas
9.3,127.8,210.0,25.23,85.72,5.24,59.33,grapes
123.1,65.6,45.5,25.79,75.16,5.69,68.83,banana
19.0,19.5,17.4,28.98,37.73,4.99,93.95,mango
82.5,54.0,48.1,23.65,92.29,7.2,157.12,jute
44.8,66.9,52.5,31.07,89.71,6.7,90.13,papaya
75.4,59.5,43.1,24.29,80.08,6.39,212.57,rice
19.7,49.8,20.0,25.9,53.15,7.04,71.79,mothbeans
18.5,53.5,17.0,26.51,52.34,7.18,66.45,mothbeans
124.1,13.6,36.0,27.38,89.34,6.18,15.0,muskmelon
18.8,21.6,40.3,30.89,94.23,6.07,160.83,coconut
89.9,13.7,46.5,24.62,78.28,6.67,20.26,watermelon
82.9,50.5,17.4,22.07,57.74,7.13,68.65,maize
83.7,43.5,12.3,24.42,60.79,6.81,100.93,maize
23.6,1.5,29.8,25.23,97.39,5.42,204.69,coconut
34.9,12.6,12.8,24.24,98.44,7.05,89.14,orange
17.5,30.8,44.8,30.81,56.19,6.46,55.03,mango
29.8,17.8,28.2,27.73,93.53,6.2,148.9,coconut
17.5,59.0,13.8,31.7,55.23,6.6,49.13,mothbeans
23.5,25.1,46.9,21.66,89.85,6.23,100.47,pomegranate
70.3,29.9,38.0,19.6,78.98,6.84,170.17,rice
46.2,53.6,62.2,33.24,97.39,6.94,123.32,papaya
40.0,56.3,9.6,31.4,72.82,6.4,80.96,blackgram
18.9,40.8,8.6,25.52,83.3,6.49,39.83,mungbean
27.8,150.0,210.0,24.7,91.93,5.69,107.5,apple
110.3,32.4,30.0,23.3,80.16,7.16,85.41,cotton
13.8,13.3,36.1,23.93,91.39,6.51,112.61,pomegranate
21.7,150.0,185.9,20.57,92.76,5.83,115.35,apple
22.2,55.5,14.6,20.92,58.78,7.28,37.28,mothbeans
22.8,15.8,10.8,16.15,86.85,6.8,68.14,orange
36.5,57.9,82.2,17.65,17.95,6.86,55.9,chickpea
79.3,43.3,50.7,25.05,86.18,5.92,235.58,jute
125.1,40.6,19.0,20.14,78.92,7.69,96.32,cotton
87.1,12.3,55.0,27.86,91.41,6.46,47.76,muskmelon
109.7,47.3,10.8,20.67,75.29,6.89,98.26,cotton
15.6,14.8,37.8,21.18,96.66,5.97,115.41,pomegranate
128.0,44.3,22.4,25.67,87.39,6.55,58.87,cotton
8.7,79.5,21.8,15.94,25.8,5.77,108.92,kidneybeans
25.2,65.0,10.7,32.0,49.12,6.76,144.99,pigeonpeas
81.3,36.2,46.8,28.07,79.56,5.96,218.81,rice
21.2,50.3,14.1,24.15,33.25,5.81,173.94,pigeonpeas
88.8,48.9,39.8,27.02,86.78,6.47,185.71,jute
111.3,39.5,20.5,23.14,77.94,6.32,118.96,cotton
8.9,11.5,43.2,27.23,90.04,6.01,96.15,pomegranate
91.0,75.2,58.0,29.37,76.09,5.49,109.98,banana
23.0,24.1,37.4,26.48,96.17,6.28,177.23,coconut
103.5,79.7,66.2,28.94,71.37,6.21,61.16,banana
9.2,56.4,32.3,21.27,55.83,5.82,191.97,pigeonpeas
78.7,29.2,56.6,26.62,92.74,6.74,15.43,muskmelon
27.2,54.1,33.3,20.84,21.94,5.55,127.44,kidneybeans
14.3,24.0,40.0,26.96,88.46,6.55,125.92,pomegranate
80.5,49.8,35.3,23.33,86.89,5.97,188.86,jute
88.8,49.0,22.4,23.1,62.78,5.49,92.45,maize
12.5,60.9,17.5,22.83,69.32,7.09,33.29,lentil
16.0,75.0,22.4,30.51,53.54,5.81,143.92,pigeonpeas
53.6,37.5,33.8,25.29,77.48,6.68,274.37,rice
16.8,38.8,17.0,27.25,54.94,5.84,17.13,mothbeans
103.3,13.5,52.8,27.13,89.4,6.2,50.03,watermelon
85.2,42.5,42.8,24.3,83.3,6.31,201.19,rice
17.9,14.7,36.0,16.67,83.99,6.4,93.57,pomegranate
111.6,31.0,33.9,26.14,55.7,6.77,147.65,coffee
20.8,42.9,12.8,26.73,84.87,6.56,45.62,mungbean
13.8,128.6,177.4,23.14,89.04,6.15,100.49,apple
81.7,52.8,27.5,24.38,79.56,6.2,198.23,rice
99.5,74.4,51.9,28.44,79.44,6.54,95.48,banana
106.8,25.6,46.7,26.55,87.93,6.71,28.04,muskmelon
70.7,40.2,49.6,27.48,78.77,6.98,165.27,jute
14.4,19.1,18.6,27.56,94.39,6.49,180.16,coconut
85.5,54.0,38.1,22.99,85.45,6.31,146.59,jute
37.9,57.8,15.2,12.7,17.56,5.46,162.37,kidneybeans
44.1,62.2,49.5,34.57,90.92,6.34,126.31,papaya
78.2,18.1,20.8,29.31,55.11,6.83,154.84,coffee
48.1,52.2,63.4,39.05,84.99,7.22,110.42,papaya
22.9,36.5,27.5,32.69,43.48,5.79,72.67,mango
36.8,52.7,16.2,27.2,61.02,7.21,63.64,blackgram
113.6,58.3,12.8,22.67,75.18,6.74,66.81,cotton
16.7,63.3,19.2,18.96,73.16,6.58,47.2,lentil
51.1,53.7,20.9,26.65,71.75,6.29,68.88,blackgram
43.2,79.0,60.2,16.92,11.55,6.61,69.17,chickpea
14.4,11.7,14.4,19.23,85.71,6.98,120.4,orange
21.5,118.8,180.1,20.41,87.55,6.02,135.35,apple
24.0,28.6,22.2,31.65,58.2,5.86,81.86,mango
111.1,72.2,43.6,25.67,76.35,5.96,129.04,banana
25.0,77.3,88.1,18.47,17.39,6.56,87.23,chickpea
53.9,40.7,35.9,26.04,79.01,6.68,218.79,jute
23.4,22.1,24.5,19.87,83.88,6.45,104.31,pomegranate
106.3,10.4,33.6,29.12,90.85,5.79,26.78,muskmelon
19.2,52.1,12.9,24.14,61.83,8.34,18.51,mothbeans
39.0,47.2,11.4,34.81,56.93,7.06,68.46,blackgram
20.5,54.7,20.2,28.25,92.7,7.46,61.62,mungbean
140.7,47.1,20.1,26.07,86.98,7.79,74.78,cotton
34.3,61.8,16.0,25.9,56.11,7.26,73.54,blackgram
18.0,19.4,32.4,26.67,97.47,6.15,147.25,coconut
113.1,57.5,22.8,20.87,85.92,6.84,81.63,cotton
77.6,49.0,40.5,24.85,83.24,7.08,181.05,jute
96.3,66.9,37.6,20.12,77.72,6.79,199.88,jute
105.7,44.6,4.6,23.51,83.6,7.73,66.33,cotton
7.3,12.9,39.0,18.78,92.42,6.49,89.43,pomegranate
51.3,58.6,42.8,31.83,92.22,6.91,129.47,papaya
22.2,15.0,35.4,25.31,98.18,5.89,181.49,coconut
94.8,40.7,19.3,29.25,79.56,6.98,50.49,cotton
113.8,23.4,45.3,22.52,80.39,6.57,46.22,watermelon
21.3,43.6,14.3,22.95,52.6,8.07,48.78,mothbeans
100.5,17.0,72.7,23.39,86.52,6.17,51.12,watermelon
17.8,23.6,46.3,21.25,87.76,6.72,82.93,pomegranate
85.7,47.1,36.6,24.63,66.89,5.55,107.68,maize
13.4,34.3,35.8,28.07,46.03,5.55,76.98,mango
27.4,81.8,26.5,32.47,67.15,7.5,84.34,blackgram
14.0,64.7,19.5,17.71,25.64,5.54,98.4,kidneybeans
46.8,56.9,17.6,27.71,60.4,7.69,60.26,blackgram
19.6,56.6,22.1,22.96,47.68,6.46,62.12,mothbeans
35.6,61.8,55.1,28.5,93.42,6.68,145.45,papaya
14.2,59.5,18.3,26.44,52.73,6.52,135.25,pigeonpeas
118.6,19.3,52.2,25.21,93.21,6.75,21.87,muskmelon
28.0,71.7,93.6,19.52,20.94,7.44,75.03,chickpea
14.8,16.5,6.6,21.14,92.62,6.97,78.24,orange
53.7,62.6,84.1,21.45,15.01,7.04,87.08,chickpea
18.9,38.0,25.5,30.24,84.45,7.08,31.77,mungbean
88.8,11.1,50.1,27.44,82.34,6.86,68.44,watermelon
64.5,51.2,47.4,33.9,95.85,6.82,128.12,papaya
32.7,15.7,33.9,28.59,96.3,6.52,183.09,coconut
101.8,11.0,64.8,26.18,97.69,6.29,33.27,muskmelon
60.8,47.7,21.4,21.0,67.31,6.19,116.34,maize
72.2,36.0,35.6,25.64,66.37,6.38,169.51,coffee
27.6,55.1,16.8,18.68,21.57,5.88,121.7,kidneybeans
25.5,18.6,32.0,21.24,90.17,6.2,128.63,pomegranate
67.9,31.2,29.9,20.74,88.01,5.91,206.97,rice
93.8,43.9,35.2,22.64,77.0,6.73,200.06,jute
25.1,49.5,31.1,25.54,41.44,6.71,46.92,mothbeans
45.4,49.1,83.8,11.68,10.3,7.54,88.58,chickpea
100.7,34.0,43.2,24.18,78.3,6.43,170.93,jute
38.2,53.5,85.9,19.98,11.0,7.18,66.26,chickpea
19.6,15.9,41.6,29.59,93.69,5.43,204.49,coconut
26.3,43.4,18.1,25.62,93.35,6.33,41.16,mungbean
28.8,70.8,22.9,16.49,18.78,5.11,138.53,kidneybeans
21.2,55.3,7.5,18.18,19.8,5.27,113.57,kidneybeans
20.2,55.2,10.9,27.89,85.38,6.77,78.98,mungbean
16.0,18.0,44.3,19.47,88.04,6.01,122.25,pomegranate
23.8,11.3,36.3,29.21,100.0,5.93,222.62,coconut
110.0,27.0,32.3,24.56,63.4,6.86,153.5,coffee
75.0,10.9,42.8,26.31,82.33,7.47,33.89,watermelon
28.9,108.7,199.2,25.82,89.55,5.93,114.1,apple
16.1,19.9,34.8,19.79,91.76,5.97,109.13,pomegranate
98.4,29.7,38.2,24.49,65.28,6.68,133.78,coffee
19.8,23.0,38.7,20.05,93.81,5.69,87.92,pomegranate
45.7,59.7,90.6,18.58,13.43,7.08,73.45,chickpea
17.1,64.3,27.0,23.15,58.7,6.98,54.88,lentil
16.2,16.5,9.6,20.46,92.32,6.65,111.32,orange
14.0,25.7,37.8,30.25,41.39,5.57,108.24,mango
40.7,62.6,56.8,35.74,92.73,6.4,189.8,papaya
66.4,53.1,44.4,29.47,77.62,6.59,269.96,rice
8.8,49.6,21.8,26.54,57.22,6.4,66.84,mothbeans
24.2,57.6,23.3,31.28,50.57,6.73,54.64,mothbeans
31.7,19.7,36.6,32.05,47.58,5.65,111.46,mango
32.0,64.8,18.9,25.62,65.78,7.69,89.51,blackgram
20.5,39.6,16.6,26.5,86.96,6.46,59.97,mungbean
26.8,11.4,31.9,26.42,91.1,6.15,160.86,coconut
16.9,11.3,37.8,16.34,90.73,7.38,126.51,pomegranate
91.1,83.4,46.7,28.89,77.81,6.5,111.93,banana
14.8,43.7,11.5,30.39,81.09,6.62,60.71,mungbean
14.6,136.5,180.6,21.89,73.13,6.51,75.58,grapes
118.8,51.7,17.8,26.42,82.81,6.58,85.01,cotton
91.0,16.6,68.7,21.55,89.03,7.1,52.76,watermelon
42.9,68.1,30.9,31.63,90.77,6.74,151.85,papaya
21.7,18.6,42.7,19.76,91.87,5.81,115.92,pomegranate
109.8,24.3,20.0,26.69,58.56,6.64,180.83,coffee
71.5,36.3,11.2,23.97,67.06,4.76,112.8,maize
13.5,47.1,21.3,32.3,48.39,6.77,54.58,mothbeans
20.6,43.6,18.4,26.77,77.75,6.71,46.94,mungbean
119.3,70.6,52.9,24.55,86.35,6.19,71.58,banana
49.3,42.5,88.6,22.38,15.28,7.09,61.44,chickpea
18.7,9.7,11.7,22.51,92.73,6.6,100.23,orange
81.2,27.9,61.1,28.74,88.09,6.11,19.54,muskmelon
11.9,17.8,12.8,19.03,94.64,7.27,110.68,orange
35.3,59.6,16.0,29.28,67.02,7.62,57.57,blackgram
12.9,18.5,40.7,17.57,92.51,6.73,140.6,pomegranate
40.7,58.9,49.8,18.33,18.72,7.31,63.72,chickpea
12.9,77.0,9.2,19.78,54.56,7.38,29.82,lentil
25.7,66.1,21.2,29.51,85.16,6.47,59.77,mungbean
33.2,48.3,16.5,29.22,49.09,6.54,66.79,mothbeans
131.2,53.6,32.1,21.6,72.61,7.09,67.46,cotton
21.2,13.4,30.9,29.72,95.05,5.4,200.68,coconut
17.6,122.0,210.0,27.06,83.59,5.93,61.71,grapes
10.3,20.7,33.3,24.93,89.19,6.34,101.67,pomegranate
98.3,26.4,36.6,25.35,52.8,6.95,139.88,coffee
23.5,22.5,41.3,20.14,88.91,6.24,100.28,pomegranate
22.1,69.5,20.6,32.13,61.45,6.89,35.08,lentil
15.7,29.3,38.1,26.4,51.33,5.59,104.17,mango
83.7,44.0,14.9,19.72,79.11,5.84,77.13,maize
100.7,57.4,18.0,26.68,74.77,6.97,86.39,maize
21.2,30.7,22.6,30.46,51.19,5.92,118.94,mango
18.0,63.7,28.8,22.76,60.71,6.89,37.17,lentil
93.9,12.2,49.2,23.8,82.69,6.33,25.07,watermelon
86.0,19.7,21.7,23.73,72.27,7.61,172.49,coffee
15.0,79.6,14.1,25.98,63.65,6.76,40.42,lentil
13.3,49.2,23.9,30.74,46.05,6.87,52.89,mothbeans
70.4,39.6,17.9,18.79,53.32,6.82,58.75,maize
28.7,67.0,80.6,19.49,17.75,6.91,88.56,chickpea
19.4,150.0,210.0,22.42,89.28,6.44,121.09,apple
24.0,72.4,21.7,17.69,65.94,7.18,64.03,lentil
12.7,23.9,39.4,27.48,94.54,7.23,124.81,pomegranate
44.0,71.3,85.2,20.92,13.6,6.95,80.57,chickpea
17.9,45.4,24.5,31.23,62.47,6.42,65.9,mothbeans
18.1,50.5,13.7,18.82,25.62,5.46,128.46,kidneybeans
14.4,29.3,41.7,30.39,52.36,5.47,97.8,mango
77.9,17.8,32.9,25.34,68.84,7.16,146.31,coffee
90.2,19.7,38.7,30.15,90.19,6.27,23.96,muskmelon
82.2,35.2,10.2,24.26,71.32,6.8,74.96,maize
12.1,61.4,27.5,18.21,28.02,5.22,115.64,kidneybeans
92.8,39.1,12.4,27.25,54.9,7.32,126.64,coffee
21.3,17.0,12.5,18.05,93.71,6.63,91.65,orange
29.4,60.5,25.8,28.45,58.18,7.21,80.5,blackgram
98.9,96.5,48.9,26.23,80.95,6.27,86.21,banana
82.9,57.3,18.6,23.51,68.94,6.11,127.47,maize
64.4,47.7,34.3,22.58,76.14,6.88,149.77,jute
48.9,68.4,68.3,34.36,90.25,6.22,178.82,papaya
22.1,137.2,209.9,20.84,90.36,5.67,72.73,apple
75.2,23.0,37.9,26.22,71.47,7.54,191.09,coffee
72.5,5.7,55.5,28.73,95.34,6.13,17.93,muskmelon
47.8,67.5,25.9,32.3,63.36,7.05,75.1,blackgram
28.3,65.0,19.0,21.48,59.4,6.42,69.02,lentil
29.5,16.2,13.3,19.97,94.22,7.29,117.59,orange
20.8,44.0,17.5,18.89,36.53,6.45,140.32,pigeonpeas
26.7,68.7,19.9,28.83,73.12,7.26,73.79,blackgram
5.7,140.0,210.0,26.29,77.17,6.43,68.5,grapes
7.5,67.9,20.6,25.81,59.13,7.06,40.72,lentil
131.9,44.5,16.0,22.92,76.89,6.89,69.09,cotton
106.5,33.2,29.8,23.97,46.32,7.69,107.7,coffee
126.5,39.5,20.7,26.52,84.82,6.63,89.78,cotton
103.7,55.9,37.8,27.51,80.98,6.95,178.01,jute
15.6,16.9,25.8,23.49,94.04,6.38,150.81,coconut
97.1,38.4,43.2,31.7,79.78,6.25,249.53,rice
105.1,29.7,51.1,29.93,90.03,7.01,15.0,muskmelon
37.9,41.2,82.9,20.8,15.24,7.61,100.72,chickpea
125.0,55.6,26.0,25.04,83.13,7.28,84.51,cotton
20.3,50.3,6.8,28.5,71.3,6.82,48.34,mungbean
72.6,38.2,55.5,28.31,83.03,6.51,174.87,jute
83.5,49.1,48.6,24.66,83.4,6.12,177.88,jute
17.1,61.5,23.7,31.03,82.23,6.73,45.64,mungbean
135.0,50.2,23.0,21.73,88.05,7.77,94.42,cotton
17.5,131.3,210.0,26.9,83.29,5.64,74.21,grapes
23.5,120.4,210.0,20.53,90.26,5.82,130.55,apple
22.5,56.3,19.8,16.68,22.94,4.94,113.83,kidneybeans
16.0,137.6,210.0,21.17,89.24,5.94,78.93,grapes
25.3,59.7,20.4,25.86,47.27,6.28,144.57,pigeonpeas
26.2,39.2,13.6,31.67,45.19,6.27,93.34,mango
22.5,137.8,202.7,21.63,93.05,5.9,112.86,apple
24.5,15.8,34.6,33.48,45.19,5.45,103.67,mango
24.5,147.0,210.0,23.74,79.88,6.02,54.65,grapes
69.5,39.6,6.8,25.87,68.75,5.72,99.05,maize
10.6,63.4,18.9,21.11,58.65,6.54,20.56,lentil
23.4,150.0,177.3,19.76,91.76,5.73,90.97,apple
79.3,46.4,17.2,23.38,63.45,6.53,89.57,maize
44.9,60.9,86.5,12.11,10.83,7.97,90.35,chickpea
32.3,62.9,18.1,20.72,51.11,5.9,162.29,pigeonpeas
15.8,125.3,184.5,25.14,74.61,5.8,59.3,grapes
108.7,12.4,43.5,25.91,99.11,6.62,15.28,muskmelon
62.6,14.1,46.4,24.25,83.79,6.75,51.27,watermelon
39.3,63.6,93.7,18.05,13.35,7.47,74.46,chickpea
22.8,11.9,9.8,21.38,94.21,6.89,144.2,orange
32.0,38.5,82.5,17.57,10.0,7.47,88.27,chickpea
21.1,78.1,23.8,12.4,13.37,5.51,105.25,kidneybeans
17.8,78.1,20.5,23.78,67.02,6.98,42.83,lentil
92.5,52.6,30.4,26.63,85.94,6.21,195.23,jute
98.9,17.2,50.2,29.8,96.69,6.7,15.5,muskmelon
20.1,43.5,22.3,25.3,52.69,6.27,56.52,mothbeans
26.4,23.7,34.1,27.19,57.81,5.61,99.19,mango
100.5,18.5,49.0,29.41,90.59,6.68,19.8,muskmelon
26.4,56.8,13.7,22.57,79.2,8.08,40.5,lentil
35.7,72.7,78.0,17.48,21.94,6.86,84.41,chickpea
21.4,59.1,20.6,21.79,59.99,7.23,40.01,lentil
16.8,44.9,17.8,31.42,56.47,7.3,89.83,blackgram
18.6,12.4,4.7,19.97,90.07,6.84,106.94,orange
71.8,43.0,33.7,28.06,73.53,6.49,126.25,jute
27.3,70.2,11.6,17.52,18.88,5.57,84.48,kidneybeans
22.9,21.7,7.8,18.15,93.35,6.65,134.57,orange
100.0,9.7,46.6,27.15,95.13,6.43,25.34,muskmelon
19.8,15.3,11.2,18.87,90.8,7.38,92.62,orange
72.7,40.6,25.1,21.25,63.96,7.06,77.08,maize
100.3,52.1,41.2,27.42,78.02,6.44,252.42,rice
27.9,129.0,173.6,20.64,90.19,6.25,109.33,apple
97.4,12.2,22.7,24.98,83.1,6.36,40.92,watermelon
18.0,45.4,25.1,29.85,91.12,6.7,52.57,mungbean
18.5,27.9,43.3,29.38,53.25,6.52,59.8,mango
47.7,60.2,36.4,33.39,94.05,6.17,165.2,papaya
76.4,39.5,20.8,22.92,65.46,6.15,85.22,maize
99.7,23.9,49.9,26.68,97.48,6.52,24.06,muskmelon
14.9,5.6,13.2,24.87,91.86,6.62,151.73,orange
19.6,35.5,26.5,34.17,51.9,6.23,79.31,mango
96.1,22.4,73.6,24.13,80.68,6.13,15.0,watermelon
77.7,52.7,53.4,26.49,78.42,7.06,212.15,jute
43.2,51.4,22.6,28.21,66.09,6.78,71.01,blackgram
111.0,86.1,59.1,27.13,79.8,5.62,97.45,banana
19.5,23.2,28.2,27.0,42.35,6.02,84.17,mango
17.5,53.4,17.1,19.27,18.67,5.72,112.35,kidneybeans
48.5,76.1,36.6,37.73,92.54,6.2,172.55,papaya
102.9,21.0,35.6,24.42,68.22,5.86,137.89,coffee
23.2,28.8,36.3,30.14,41.12,5.25,122.22,mango
31.5,57.5,89.5,15.78,15.74,7.32,83.59,chickpea
26.9,63.4,18.9,23.61,56.93,5.61,74.81,pigeonpeas
98.1,19.0,49.0,20.51,85.72,7.54,74.35,watermelon
18.7,46.7,27.4,26.77,87.03,6.72,22.93,mungbean
76.5,45.8,34.4,21.01,87.72,6.33,251.96,rice
13.8,131.5,191.6,22.28,85.12,5.9,68.88,grapes
21.3,22.1,22.6,29.87,60.86,5.47,125.31,mango
24.3,36.6,20.5,27.24,79.72,7.1,52.52,mungbean
20.2,60.2,23.8,22.55,47.27,7.32,61.13,lentil
22.5,28.8,32.6,30.87,46.34,6.07,125.9,mango
32.3,49.5,17.4,25.06,54.8,6.12,191.41,pigeonpeas
13.6,25.5,27.6,31.34,52.95,6.08,130.89,mango
53.4,68.4,15.3,30.24,75.72,8.1,42.48,blackgram
118.6,36.3,19.4,22.56,81.55,6.81,55.85,cotton
28.6,49.8,17.2,27.31,72.11,6.57,47.06,mothbeans
111.1,37.4,4.6,17.95,81.65,6.81,96.84,cotton
80.7,44.4,20.1,18.76,65.39,5.97,111.6,maize
51.4,60.1,53.3,34.55,95.17,6.48,159.1,papaya
84.6,16.8,44.1,26.69,88.3,6.4,15.0,watermelon
27.6,13.9,45.7,22.4,96.57,5.18,145.61,coconut
27.6,83.9,31.7,31.82,65.83,7.03,27.39,blackgram
19.8,126.2,179.5,17.97,89.23,5.43,95.47,apple
25.7,12.7,15.9,21.89,90.24,6.69,114.06,orange
107.6,55.0,24.0,21.98,75.95,6.41,66.72,cotton
102.4,78.5,52.1,25.97,87.05,5.91,111.26,banana
15.2,51.2,16.2,28.15,49.26,5.56,130.57,pigeonpeas
44.0,54.5,50.2,30.11,94.58,5.98,180.87,papaya
94.3,87.6,56.6,24.27,79.41,5.75,103.68,banana
16.3,120.2,205.0,26.52,76.09,6.34,58.0,grapes
15.3,17.0,30.2,26.79,93.2,5.89,224.39,coconut
2.9,55.2,20.6,24.93,45.4,7.13,53.58,mothbeans
115.9,30.4,23.2,20.65,62.11,7.7,187.39,coffee
7.4,69.8,22.5,28.03,69.19,7.32,41.95,lentil
68.0,19.6,21.7,18.89,48.58,5.9,31.57,maize
106.3,14.1,65.9,26.26,90.09,6.47,26.59,muskmelon
12.4,51.0,16.1,16.94,19.15,4.85,105.92,kidneybeans
21.2,18.4,9.3,23.39,90.98,7.06,147.31,orange
22.1,36.8,22.7,26.95,81.25,6.73,46.36,mungbean
13.5,61.7,16.9,23.83,73.21,7.13,26.97,lentil
121.0,89.1,51.0,24.69,81.57,6.02,102.96,banana
104.0,40.8,43.8,22.94,77.46,6.65,173.87,jute
58.6,46.8,29.8,22.69,84.81,6.94,220.78,rice
79.8,34.3,21.6,24.71,51.17,5.76,90.42,maize
112.3,15.3,31.2,27.84,92.31,6.79,22.93,muskmelon
66.6,65.4,48.2,34.21,91.03,6.13,164.93,papaya
53.6,60.1,72.4,19.06,22.04,7.08,69.65,chickpea
99.7,52.3,19.9,24.88,72.34,6.32,67.56,cotton
122.3,37.0,33.5,23.52,64.41,6.5,232.93,coffee
25.4,8.4,8.6,24.29,98.71,7.36,75.08,orange
16.3,79.6,21.3,21.06,20.26,5.32,127.08,kidneybeans
82.6,32.4,26.6,26.42,60.14,6.55,141.69,coffee
88.8,19.7,43.4,25.36,82.82,6.03,68.42,watermelon
45.5,58.4,17.1,27.89,58.41,7.96,64.43,blackgram
16.5,50.2,14.9,32.09,53.21,7.14,48.15,mothbeans
127.5,45.6,19.6,22.05,74.37,7.02,113.17,cotton
45.4,57.9,87.5,18.51,19.16,7.55,115.46,chickpea
40.9,82.3,70.3,23.98,14.05,6.93,88.21,chickpea
22.7,48.9,19.1,27.63,52.69,6.6,137.13,pigeonpeas
13.7,124.1,210.0,24.0,82.42,6.44,74.23,grapes
13.4,16.4,17.2,22.86,89.74,6.68,134.3,orange
48.5,62.8,47.9,33.69,86.42,6.78,131.5,papaya
69.5,77.5,65.4,30.99,91.71,6.85,160.85,papaya
47.8,70.3,87.3,16.3,21.68,7.11,68.55,chickpea
46.5,51.3,78.5,18.56,17.42,7.15,76.48,chickpea
27.2,49.6,24.5,29.76,34.44,6.27,51.15,mothbeans
22.8,6.8,6.2,23.33,95.62,7.86,77.87,orange
10.6,31.7,21.9,26.47,48.13,7.23,53.6,mothbeans
66.3,58.6,36.0,27.06,74.56,6.49,202.58,jute
